"spectral_type,"temperature","stage"
"O5",54000.00,"main_sequence"
"O6",45000.00,"main_sequence"
"O7",43300.00,"main_sequence"
"O8",40600.00,"main_sequence"
"O9",37800.00,"main_sequence"
"B0",29200.00,"main_sequence"
"B1",23000.00,"main_sequence"
"B2",21000.00,"main_sequence"
"B3",17600.00,"main_sequence"
"B5",15200.00,"main_sequence"
"B6",14300.00,"main_sequence"
"B7",13500.00,"main_sequence"
"B8",12300.00,"main_sequence"
"B9",11400.00,"main_sequence"
"A0",9600.00,"main_sequence"
"A1",9330.00,"main_sequence"
"A2",9040.00,"main_sequence"
"A3",8750.00,"main_sequence"
"A4",8480.00,"main_sequence"
"A5",8310.00,"main_sequence"
"A7",7920.00,"main_sequence"
"F0",7350.00,"main_sequence"
"F2",7050.00,"main_sequence"
"F3",6850.00,"main_sequence"
"F5",6700.00,"main_sequence"
"F6",6550.00,"main_sequence"
"F7",6400.00,"main_sequence"
"F8",6300.00,"main_sequence"
"G0",6050.00,"main_sequence"
"G1",5930.00,"main_sequence"
"G2",5800.00,"main_sequence"
"G5",5660.00,"main_sequence"
"G8",5440.00,"main_sequence"
"K0",5240.00,"main_sequence"
"K1",5110.00,"main_sequence"
"K2",4960.00,"main_sequence"
"K3",4800.00,"main_sequence"
"K4",4600.00,"main_sequence"
"K5",4400.00,"main_sequence"
"K7",4000.00,"main_sequence"
"M0",3750.00,"main_sequence"
"M1",3700.00,"main_sequence"
"M2",3600.00,"main_sequence"
"M3",3500.00,"main_sequence"
"M4",3400.00,"main_sequence"
"M5",3200.00,"main_sequence"
"M6",3100.00,"main_sequence"
"M7",2900.00,"main_sequence"
"M8",2700.00,"main_sequence"
"L0",2600.00,"main_sequence"
"L3",2200.00,"main_sequence"
"L8",1500.00,"main_sequence"
"T2",1400.00,"main_sequence"
"T6",1000.00,"main_sequence"
"T8",800.00,"main_sequence"
"G5",5010.00,"giant"
"G8",4870.00,"giant"
"K0",4720.00,"giant"
"K1",4580.00,"giant"
"K2",4460.00,"giant"
"K3",4210.00,"giant"
"K4",4010.00,"giant"
"K5",3780.00,"giant"
"M0",3660.00,"giant"
"M1",3600.00,"giant"
"M2",3500.00,"giant"
"M3",3300.00,"giant"
"M4",3100.00,"giant"
"M5",2950.00,"giant"
"M6",2800.00,"giant"
"B0",21000.00,"supergiant"
"B1",16000.00,"supergiant"
"B2",14000.00,"supergiant"
"B3",12800.00,"supergiant"
"B5",11500.00,"supergiant"
"B6",11000.00,"supergiant"
"B7",10500.00,"supergiant"
"B8",10000.00,"supergiant"
"B9",9700.00,"supergiant"
"A0",9400.00,"supergiant"
"A1",9100.00,"supergiant"
"A2",8900.00,"supergiant"
"A5",8300.00,"supergiant"
"F0",7500.00,"supergiant"
"F2",7200.00,"supergiant"
"F5",6800.00,"supergiant"
"F8",6150.00,"supergiant"
"G0",5800.00,"supergiant"
"G2",5500.00,"supergiant"
"G5",5100.00,"supergiant"
"G8",5050.00,"supergiant"
"K0",4900.00,"supergiant"
"K1",4700.00,"supergiant"
"K2",4500.00,"supergiant"
"K3",4300.00,"supergiant"
"K4",4100.00,"supergiant"
"K5",3750.00,"supergiant"
"M0",3660.00,"supergiant"
"M1",3600.00,"supergiant"
