wavelength_A,normalized_intensity
3900.00,0.7194
3901.00,0.7475
3902.00,0.7703
3903.00,0.7881
3904.00,0.7929
3905.00,0.7854
3906.00,0.7845
3907.00,0.8013
3908.00,0.8344
3909.00,0.8854
3910.00,0.9040
3911.00,0.9238
3912.00,0.9305
3913.00,0.9255
3914.00,0.9238
3915.00,0.9172
3916.00,0.8957
3917.00,0.9040
3918.00,0.9083
3919.00,0.9189
3920.00,0.9315
3921.00,0.9470
3922.00,0.9735
3923.00,0.9758
3924.00,0.9768
3925.00,0.9570
3926.00,0.9305
3927.00,0.8825
3928.00,0.8195
3929.00,0.7628
3930.00,0.7028
3931.00,0.6411
3932.00,0.5596
3933.00,0.5298
3934.00,0.5298
3935.00,0.6134
3936.00,0.6829
3937.00,0.7508
3938.00,0.8046
3939.00,0.8609
3940.00,0.8874
3941.00,0.8576
3942.00,0.8576
3943.00,0.8626
3944.00,0.8761
3945.00,0.8808
3946.00,0.8791
3947.00,0.8642
3948.00,0.8477
3949.00,0.8344
3950.00,0.8253
3951.00,0.8221
3952.00,0.8187
3953.00,0.8121
3954.00,0.8089
3955.00,0.7907
3956.00,0.7691
3957.00,0.7517
3958.00,0.7410
3959.00,0.7310
3960.00,0.7086
3961.00,0.6755
3962.00,0.6333
3963.00,0.5762
3964.00,0.5364
3965.00,0.5005
3966.00,0.4470
3967.00,0.3808
3968.00,0.3377
3969.00,0.3245
3970.00,0.3510
3971.00,0.3874
3972.00,0.4247
3973.00,0.4764
3974.00,0.5331
3975.00,0.5803
3976.00,0.6233
3977.00,0.6589
3978.00,0.6921
3979.00,0.7088
3980.00,0.7232
3981.00,0.7333
3982.00,0.7475
3983.00,0.7624
3984.00,0.7848
3985.00,0.8162
3986.00,0.8426
3987.00,0.8584
3988.00,0.8659
3989.00,0.8742
3990.00,0.9040
3991.00,0.9040
3992.00,0.9143
3993.00,0.9181
3994.00,0.9073
3995.00,0.8924
3996.00,0.8841
3997.00,0.8940
3998.00,0.9089
3999.00,0.9263
4000.00,0.9367
4001.00,0.9305
4002.00,0.9222
4003.00,0.9106
4004.00,0.9031
4005.00,0.9089
4006.00,0.9222
4007.00,0.9362
4008.00,0.9503
4009.00,0.9578
4010.00,0.9570
4011.00,0.9545
4012.00,0.9574
4013.00,0.9586
4014.00,0.9605
4015.00,0.9611
4016.00,0.9752
4017.00,0.9901
4018.00,1.0000
4019.00,0.9959
4020.00,0.9917
4021.00,0.9856
4022.00,0.9768
4023.00,0.9636
4024.00,0.9570
4025.00,0.9603
4026.00,0.9685
4027.00,0.9785
4028.00,0.9744
4029.00,0.9586
4030.00,0.9454
4031.00,0.9396
4032.00,0.9421
4033.00,0.9503
4034.00,0.9578
4035.00,0.9740
4036.00,0.9950
4037.00,1.0000
4038.00,0.9901
4039.00,0.9702
4040.00,0.9677
4041.00,0.9578
4042.00,0.9511
4043.00,0.9392
4044.00,0.9255
4045.00,0.9189
4046.00,0.9255
4047.00,0.9445
4048.00,0.9586
4049.00,0.9661
4050.00,0.9694
4051.00,0.9652
4052.00,0.9594
4053.00,0.9520
4054.00,0.9404
4055.00,0.9321
4056.00,0.9255
4057.00,0.9338
4058.00,0.9437
