wavelength_A,normalized_intensity
3900.00,0.7771
3901.00,0.7972
3902.00,0.8060
3903.00,0.8160
3904.00,0.8186
3905.00,0.8221
3906.00,0.8267
3907.00,0.8342
3908.00,0.8571
3909.00,0.8836
3910.00,0.8980
3911.00,0.9107
3912.00,0.9031
3913.00,0.8929
3914.00,0.8865
3915.00,0.8852
3916.00,0.8789
3917.00,0.8686
3918.00,0.8622
3919.00,0.8584
3920.00,0.8673
3921.00,0.8724
3922.00,0.8776
3923.00,0.8796
3924.00,0.8699
3925.00,0.8520
3926.00,0.8240
3927.00,0.7704
3928.00,0.6964
3929.00,0.6218
3930.00,0.5482
3931.00,0.4592
3932.00,0.4184
3933.00,0.4184
3934.00,0.4286
3935.00,0.4515
3936.00,0.5306
3937.00,0.6146
3938.00,0.6811
3939.00,0.7551
3940.00,0.8010
3941.00,0.8061
3942.00,0.7985
3943.00,0.7990
3944.00,0.8049
3945.00,0.8119
3946.00,0.8265
3947.00,0.8343
3948.00,0.8339
3949.00,0.8320
3950.00,0.8304
3951.00,0.8344
3952.00,0.8316
3953.00,0.8189
3954.00,0.8048
3955.00,0.8023
3956.00,0.7889
3957.00,0.7710
3958.00,0.7575
3959.00,0.7283
3960.00,0.7079
3961.00,0.6913
3962.00,0.6582
3963.00,0.6148
3964.00,0.5561
3965.00,0.5001
3966.00,0.4362
3967.00,0.3724
3968.00,0.3265
3969.00,0.3367
3970.00,0.3724
3971.00,0.4260
3972.00,0.4876
3973.00,0.5485
3974.00,0.5982
3975.00,0.6454
3976.00,0.6926
3977.00,0.7283
3978.00,0.7628
3979.00,0.7834
3980.00,0.8007
3981.00,0.8064
3982.00,0.8189
3983.00,0.8367
3984.00,0.8501
3985.00,0.8603
3986.00,0.8688
3987.00,0.8776
3988.00,0.8865
3989.00,0.9056
3990.00,0.9260
3991.00,0.9388
3992.00,0.9490
3993.00,0.9392
3994.00,0.9281
3995.00,0.9121
3996.00,0.9056
3997.00,0.9056
3998.00,0.9204
3999.00,0.9353
4000.00,0.9618
4001.00,0.9592
4002.00,0.9643
4003.00,0.9452
4004.00,0.9260
4005.00,0.9286
4006.00,0.9260
4007.00,0.9442
4008.00,0.9834
4009.00,1.0000
4010.00,0.9809
4011.00,0.9694
4012.00,0.9595
4013.00,0.9601
4014.00,0.9536
4015.00,0.9636
4016.00,0.9662
4017.00,0.9758
4018.00,0.9809
4019.00,0.9812
4020.00,0.9785
4021.00,0.9776
4022.00,0.9751
4023.00,0.9732
4024.00,0.9726
4025.00,0.9751
4026.00,0.9767
4027.00,0.9796
4028.00,0.9679
4029.00,0.9541
4030.00,0.9311
4031.00,0.9196
4032.00,0.9209
4033.00,0.9375
4034.00,0.9534
4035.00,0.9636
4036.00,0.9821
4037.00,0.9892
4038.00,0.9936
4039.00,0.9943
4040.00,0.9923
4041.00,0.9834
4042.00,0.9658
4043.00,0.9579
4044.00,0.9426
4045.00,0.9337
4046.00,0.9362
4047.00,0.9605
4048.00,0.9783
4049.00,0.9888
4050.00,0.9796
4051.00,0.9681
4052.00,0.9477
4053.00,0.9247
4054.00,0.9158
4055.00,0.9152
4056.00,0.9223
4057.00,0.9292
4058.00,0.9362
4059.00,0.9420
4060.00,0.9458
4061.00,0.9391
4062.00,0.9211
4063.00,0.9134
4064.00,0.9082
4065.00,0.9056
4066.00,0.9094
4067.00,0.9241
4068.00,0.9503
4069.00,0.9455
4070.00,0.9306
4071.00,0.9152
4072.00,0.9107
4073.00,0.9056
4074.00,0.8954
4075.00,0.8827
4076.00,0.8622
4077.00,0.8451
4078.00,0.8469
4079.00,0.8724
4080.00,0.8929
4081.00,0.8878
4082.00,0.8724
4083.00,0.8495
4084.00,0.8423
4085.00,0.8469
4086.00,0.8520
4087.00,0.8699
4088.00,0.8750
4089.00,0.8673
4090.00,0.8374
4091.00,0.8128
4092.00,0.7860
4093.00,0.7650
4094.00,0.7360
4095.00,0.7003
4096.00,0.6556
4097.00,0.6116
4098.00,0.5698
4099.00,0.5000
4100.00,0.4643
4101.00,0.4898
4102.00,0.5102
4103.00,0.5430
4104.00,0.5730
4105.00,0.6358
4106.00,0.6582
4107.00,0.7031
4108.00,0.7284
4109.00,0.7589
4110.00,0.7857
4111.00,0.8093
4112.00,0.8132
4113.00,0.8291
4114.00,0.8380
4115.00,0.8431
4116.00,0.8482
4117.00,0.8571
4118.00,0.8648
4119.00,0.8692
4120.00,0.8635
4121.00,0.8731
4122.00,0.8712
4123.00,0.8827
4124.00,0.8788
4125.00,0.8788
4126.00,0.8721
4127.00,0.8673
4128.00,0.8699
4129.00,0.8839
4130.00,0.8801
4131.00,0.8820
4132.00,0.8878
4133.00,0.8836
4134.00,0.8954
