wavelength_A,normalized_intensity
3900.00,0.2709
3901.00,0.2633
3902.00,0.2747
3903.00,0.2662
3904.00,0.2676
3905.00,0.2640
3906.00,0.2599
3907.00,0.2454
3908.00,0.2510
3909.00,0.2738
3910.00,0.2819
3911.00,0.2860
3912.00,0.2939
3913.00,0.3061
3914.00,0.3082
3915.00,0.3224
3916.00,0.3174
3917.00,0.2957
3918.00,0.2589
3919.00,0.2306
3920.00,0.2102
3921.00,0.2041
3922.00,0.1969
3923.00,0.1924
3924.00,0.1969
3925.00,0.2041
3926.00,0.1929
3927.00,0.1684
3928.00,0.1408
3929.00,0.1153
3930.00,0.0960
3931.00,0.0816
3932.00,0.0750
3933.00,0.0628
3934.00,0.0612
3935.00,0.0724
3936.00,0.0949
3937.00,0.1139
3938.00,0.1357
3939.00,0.1469
3940.00,0.1510
3941.00,0.1612
3942.00,0.1737
3943.00,0.1876
3944.00,0.2007
3945.00,0.2112
3946.00,0.2235
3947.00,0.2347
3948.00,0.2571
3949.00,0.2673
3950.00,0.2755
3951.00,0.2831
3952.00,0.2796
3953.00,0.2847
3954.00,0.2918
3955.00,0.2939
3956.00,0.2918
3957.00,0.2939
3958.00,0.2924
3959.00,0.2837
3960.00,0.2638
3961.00,0.2370
3962.00,0.2051
3963.00,0.1770
3964.00,0.1510
3965.00,0.1324
3966.00,0.1179
3967.00,0.1042
3968.00,0.0959
3969.00,0.0959
3970.00,0.1051
3971.00,0.1204
3972.00,0.1395
3973.00,0.1653
3974.00,0.1898
3975.00,0.2347
3976.00,0.2714
3977.00,0.3010
3978.00,0.3071
3979.00,0.3220
3980.00,0.3398
3981.00,0.3582
3982.00,0.3753
3983.00,0.3835
3984.00,0.3874
3985.00,0.3976
3986.00,0.4242
3987.00,0.4388
3988.00,0.4551
3989.00,0.4592
3990.00,0.4551
3991.00,0.4531
3992.00,0.4592
3993.00,0.4558
3994.00,0.4490
3995.00,0.4416
3996.00,0.4612
3997.00,0.4658
3998.00,0.4776
3999.00,0.4959
4000.00,0.5104
4001.00,0.5184
4002.00,0.5143
4003.00,0.5071
4004.00,0.4806
4005.00,0.4571
4006.00,0.4490
4007.00,0.4461
4008.00,0.4735
4009.00,0.4918
4010.00,0.4847
