"wavelength_A","o5","a1","a5","b0","b6","f0","f5","g0","k0","k5","m0","m5"
3900,0.9939,0.7065,0.7194,0.9615,0.8852,0.7771,0.7653,0.6571,0.4724,0.2709,0.2235,0.2753
3901,0.9953,0.7216,0.7475,0.97,0.9062,0.7972,0.7721,0.6633,0.4631,0.2633,0.2297,0.3034
3902,0.9922,0.7315,0.7703,0.9738,0.9253,0.806,0.7738,0.672,0.4541,0.2747,0.2378,0.3274
3903,0.9919,0.7385,0.7881,0.9732,0.9438,0.816,0.7704,0.6647,0.4521,0.2662,0.2462,0.3483
3904,0.998,0.7444,0.7929,0.9732,0.955,0.8186,0.7449,0.6555,0.4574,0.2676,0.2518,0.3446
3905,1,0.7603,0.7854,0.9724,0.9493,0.8221,0.7211,0.6486,0.4668,0.264,0.2557,0.3071
3906,0.9959,0.7839,0.7845,0.9724,0.9503,0.8267,0.7211,0.6577,0.488,0.2599,0.2571,0.2697
3907,0.9919,0.8276,0.8013,0.97,0.9608,0.8342,0.7721,0.6937,0.5106,0.2454,0.2702,0.2547
3908,0.9905,0.8545,0.8344,0.9649,0.9739,0.8571,0.8078,0.723,0.5279,0.251,0.2725,0.2622
3909,0.9851,0.8883,0.8854,0.9756,0.9744,0.8836,0.8326,0.7522,0.5467,0.2738,0.2672,0.2643
3910,0.9816,0.8747,0.904,0.9649,0.9737,0.898,0.8469,0.777,0.5559,0.2819,0.2597,0.2715
3911,0.9811,0.8814,0.9238,0.9649,0.9716,0.9107,0.8554,0.786,0.5691,0.286,0.2522,0.2734
3912,0.9783,0.8983,0.9305,0.959,0.9586,0.9031,0.8478,0.7939,0.5645,0.2939,0.2605,0.2846
3913,0.9723,0.905,0.9255,0.9623,0.9493,0.8929,0.8367,0.7984,0.5532,0.3061,0.2792,0.3071
3914,0.9682,0.9016,0.9238,0.9717,0.9646,0.8865,0.8274,0.7984,0.5339,0.3082,0.3009,0.324
3915,0.963,0.8949,0.9172,0.9954,0.9972,0.8852,0.821,0.7934,0.5193,0.3224,0.3123,0.3483
3916,0.9608,0.8859,0.8957,1,1,0.8789,0.8098,0.7845,0.5003,0.3174,0.3179,0.3532
3917,0.9581,0.8764,0.904,0.9928,0.9928,0.8686,0.7955,0.7793,0.4801,0.2957,0.3032,0.3371
3918,0.9553,0.8949,0.9083,0.9755,0.9885,0.8622,0.7747,0.7613,0.4515,0.2589,0.2762,0.3071
3919,0.9472,0.9242,0.9189,0.9623,0.9852,0.8584,0.7738,0.7325,0.4309,0.2306,0.2582,0.2846
3920,0.9256,0.9259,0.9315,0.9492,0.9781,0.8673,0.7768,0.7027,0.4122,0.2102,0.2447,0.2846
3921,0.9202,0.9344,0.947,0.9412,0.9761,0.8724,0.7755,0.6802,0.4122,0.2041,0.2417,0.2584
3922,0.9175,0.942,0.9735,0.9335,0.99,0.8776,0.7721,0.6699,0.4202,0.1969,0.237,0.2322
3923,0.9184,0.9645,0.9758,0.9279,0.9973,0.8796,0.7585,0.6736,0.4197,0.1924,0.2354,0.2197
3924,0.9147,0.9622,0.9768,0.9187,0.9943,0.8699,0.733,0.675,0.3989,0.1969,0.2368,0.2172
3925,0.9083,0.9386,0.957,0.9131,0.9828,0.852,0.7168,0.6689,0.3662,0.2041,0.2387,0.2622
3926,0.906,0.9252,0.9305,0.9103,0.9766,0.824,0.6803,0.6441,0.3369,0.1929,0.2286,0.2884
3927,0.906,0.9117,0.8825,0.9109,0.9771,0.7704,0.6293,0.6081,0.3055,0.1684,0.2051,0.2659
3928,0.912,0.8949,0.8195,0.9039,0.9785,0.6964,0.5502,0.5631,0.2846,0.1408,0.1848,0.2426
3929,0.912,0.8537,0.7628,0.8896,0.9742,0.6218,0.4711,0.5023,0.2739,0.1153,0.1591,0.2372
3930,0.9137,0.8002,0.7028,0.8714,0.9643,0.5482,0.4102,0.4479,0.264,0.096,0.1523,0.232
3931,0.8999,0.7326,0.6411,0.8608,0.9474,0.4592,0.3537,0.3964,0.2707,0.0816,0.1471,0.2327
3932,0.889,0.6594,0.5596,0.8532,0.9302,0.4184,0.3061,0.3401,0.2791,0.075,0.1711,0.2346
3933,0.8769,0.6527,0.5298,0.8481,0.9311,0.4184,0.2993,0.3063,0.2793,0.0628,0.1831,0.2331
3934,0.8674,0.693,0.5298,0.8616,0.9349,0.4286,0.3197,0.3063,0.2793,0.0612,0.1816,0.2322
3935,0.8769,0.7738,0.6134,0.8802,0.9446,0.4515,0.369,0.3378,0.2793,0.0724,0.1796,0.2346
3936,0.8931,0.8343,0.6829,0.8904,0.9516,0.5306,0.4226,0.3826,0.2912,0.0949,0.1833,0.2444
3937,0.9132,0.8816,0.7508,0.9047,0.9596,0.6146,0.4883,0.4267,0.3096,0.1139,0.188,0.2557
3938,0.9296,0.9117,0.8046,0.9209,0.9684,0.6811,0.5485,0.4783,0.3334,0.1357,0.1916,0.2556
3939,0.9432,0.9252,0.8609,0.9251,0.9876,0.7551,0.6088,0.5225,0.3597,0.1469,0.2,0.2484
3940,0.9499,0.9143,0.8874,0.9213,0.9972,0.801,0.6565,0.5518,0.3797,0.151,0.2042,0.25
3941,0.9452,0.9042,0.8576,0.9213,0.9885,0.8061,0.6837,0.5788,0.3886,0.1612,0.1907,0.2322
3942,0.9364,0.8924,0.8576,0.9276,0.9771,0.7985,0.7041,0.5923,0.4016,0.1737,0.1741,0.2219
3943,0.9337,0.885,0.8626,0.931,0.9723,0.799,0.7185,0.6036,0.4159,0.1876,0.173,0.2022
3944,0.9356,0.8807,0.8761,0.9291,0.9852,0.8049,0.7391,0.6111,0.4377,0.2007,0.1937,0.1999
3945,0.9337,0.8846,0.8808,0.9209,0.9857,0.8119,0.75,0.6326,0.4603,0.2112,0.2102,0.2121
3946,0.9215,0.8764,0.8791,0.9209,0.9832,0.8265,0.7534,0.6562,0.4797,0.2235,0.2284,0.2355
3947,0.9188,0.8596,0.8642,0.9243,0.9749,0.8343,0.7597,0.6768,0.4927,0.2347,0.2485,0.2509
3948,0.9296,0.8512,0.8477,0.931,0.9684,0.8339,0.7703,0.692,0.5068,0.2571,0.2687,0.2566
3949,0.935,0.8444,0.8344,0.9293,0.955,0.832,0.7826,0.7072,0.518,0.2673,0.2846,0.2697
3950,0.931,0.8411,0.8253,0.9259,0.9474,0.8304,0.7951,0.7196,0.5319,0.2755,0.2989,0.2921
3951,0.9184,0.8348,0.8221,0.9321,0.9488,0.8344,0.8,0.7262,0.5424,0.2831,0.3129,0.3187
3952,0.9073,0.8158,0.8187,0.9336,0.9378,0.8316,0.8027,0.7275,0.5465,0.2796,0.2912,0.3296
3953,0.8972,0.8032,0.8121,0.9243,0.9225,0.8189,0.801,0.7196,0.5419,0.2847,0.2642,0.3184
3954,0.8928,0.7931,0.8089,0.9175,0.9015,0.8048,0.8027,0.7089,0.5332,0.2918,0.2361,0.2996
3955,0.8943,0.7822,0.7907,0.9133,0.8881,0.8023,0.7687,0.6993,0.5248,0.2939,0.2169,0.2968
3956,0.8972,0.7637,0.7691,0.9082,0.8756,0.7889,0.7619,0.6847,0.5143,0.2918,0.1978,0.2978
3957,0.8999,0.7284,0.7517,0.9035,0.8651,0.771,0.7585,0.6757,0.5066,0.2939,0.1786,0.2753
3958,0.9041,0.7055,0.741,0.8904,0.8525,0.7575,0.7655,0.666,0.4873,0.2924,0.1564,0.2288
3959,0.91,0.688,0.731,0.8802,0.8306,0.7283,0.7551,0.6577,0.4415,0.2837,0.1591,0.1835
3960,0.9066,0.6518,0.7086,0.8684,0.7983,0.7079,0.7415,0.6216,0.3856,0.2638,0.1494,0.1536
3961,0.8917,0.6056,0.6755,0.8515,0.7699,0.6913,0.6939,0.5788,0.359,0.237,0.1479,0.1573
3962,0.8701,0.5694,0.6333,0.8303,0.7361,0.6582,0.6259,0.527,0.3351,0.2051,0.1539,0.1685
3963,0.859,0.54,0.5762,0.8024,0.6967,0.6148,0.5636,0.4859,0.3284,0.177,0.1651,0.206
3964,0.852,0.5114,0.5364,0.7658,0.6469,0.5561,0.5134,0.4448,0.3115,0.151,0.1771,0.2285
3965,0.8403,0.4664,0.5005,0.7278,0.5954,0.5001,0.4636,0.4013,0.3019,0.1324,0.1814,0.2597
3966,0.8065,0.4172,0.447,0.6898,0.5302,0.4362,0.4031,0.3559,0.3035,0.1179,0.1831,0.2537
3967,0.7578,0.3768,0.3808,0.6602,0.4555,0.3724,0.3673,0.3086,0.3188,0.1042,0.1892,0.2416
3968,0.7199,0.3432,0.3377,0.65,0.4134,0.3265,0.3265,0.2703,0.33,0.0959,0.1982,0.2472
3969,0.6874,0.3297,0.3245,0.6365,0.3828,0.3367,0.3265,0.2613,0.3394,0.0959,0.2162,0.264
3970,0.6982,0.3432,0.351,0.65,0.4134,0.3724,0.3673,0.2748,0.3544,0.1051,0.2252,0.2856
3971,0.7064,0.3667,0.3874,0.6708,0.4431,0.426,0.4286,0.3041,0.3707,0.1204,0.2349,0.3006
3972,0.7242,0.4073,0.4247,0.707,0.4958,0.4876,0.4855,0.3382,0.3949,0.1395,0.2419,0.3186
3973,0.751,0.4559,0.4764,0.7423,0.5512,0.5485,0.5425,0.3829,0.4232,0.1653,0.264,0.3371
3974,0.7862,0.4996,0.5331,0.777,0.6067,0.5982,0.6003,0.4302,0.4561,0.1898,0.2865,0.359
3975,0.8241,0.5349,0.5803,0.8125,0.6479,0.6454,0.6429,0.482,0.4854,0.2347,0.2942,0.3818
3976,0.8498,0.5568,0.6233,0.8447,0.6933,0.6926,0.6832,0.5349,0.5306,0.2714,0.3093,0.4045
3977,0.8633,0.5862,0.6589,0.8633,0.733,0.7283,0.7202,0.5833,0.5638,0.301,0.307,0.4157
3978,0.8647,0.6266,0.6921,0.8684,0.7649,0.7628,0.7551,0.6306,0.5904,0.3071,0.3145,0.4157
3979,0.8675,0.6581,0.7088,0.8612,0.7906,0.7834,0.7799,0.6691,0.5953,0.322,0.3105,0.4087
3980,0.8674,0.683,0.7232,0.8532,0.8184,0.8007,0.7959,0.705,0.6011,0.3398,0.3288,0.4157
