wavelength_A,normalized_intensity
3900.00,0.2235
3901.00,0.2297
3902.00,0.2378
3903.00,0.2462
3904.00,0.2518
3905.00,0.2557
3906.00,0.2571
3907.00,0.2702
3908.00,0.2725
3909.00,0.2672
3910.00,0.2597
3911.00,0.2522
3912.00,0.2605
3913.00,0.2792
3914.00,0.3009
3915.00,0.3123
3916.00,0.3179
3917.00,0.3032
3918.00,0.2762
3919.00,0.2582
3920.00,0.2447
3921.00,0.2417
3922.00,0.2370
3923.00,0.2354
3924.00,0.2368
3925.00,0.2387
3926.00,0.2286
3927.00,0.2051
3928.00,0.1848
3929.00,0.1591
3930.00,0.1523
3931.00,0.1471
3932.00,0.1711
3933.00,0.1831
3934.00,0.1816
3935.00,0.1796
3936.00,0.1833
3937.00,0.1880
3938.00,0.1916
3939.00,0.2000
3940.00,0.2042
3941.00,0.1907
3942.00,0.1741
3943.00,0.1730
3944.00,0.1937
3945.00,0.2102
3946.00,0.2284
3947.00,0.2485
3948.00,0.2687
3949.00,0.2846
3950.00,0.2989
3951.00,0.3129
3952.00,0.2912
3953.00,0.2642
3954.00,0.2361
3955.00,0.2169
3956.00,0.1978
3957.00,0.1786
3958.00,0.1564
3959.00,0.1591
3960.00,0.1494
3961.00,0.1479
3962.00,0.1539
3963.00,0.1651
3964.00,0.1771
3965.00,0.1814
3966.00,0.1831
3967.00,0.1892
3968.00,0.1982
3969.00,0.2162
3970.00,0.2252
3971.00,0.2349
3972.00,0.2419
3973.00,0.2640
3974.00,0.2865
3975.00,0.2942
3976.00,0.3093
3977.00,0.3070
3978.00,0.3145
3979.00,0.3105
3980.00,0.3288
3981.00,0.3378
3982.00,0.3483
3983.00,0.3588
3984.00,0.3573
3985.00,0.3535
3986.00,0.3517
3987.00,0.3565
3988.00,0.3543
3989.00,0.3532
3990.00,0.3569
3991.00,0.3594
3992.00,0.3603
3993.00,0.3587
3994.00,0.3468
3995.00,0.3291
3996.00,0.3243
3997.00,0.3348
3998.00,0.3505
3999.00,0.3678
4000.00,0.3882
4001.00,0.3948
4002.00,0.3971
4003.00,0.3993
4004.00,0.3918
