wavelength_A,normalized_intensity
3900.00,0.1720
3901.00,0.1740
3902.00,0.1752
3903.00,0.1763
3904.00,0.1767
3905.00,0.1821
3906.00,0.1937
3907.00,0.2036
3908.00,0.2121
3909.00,0.2186
3910.00,0.2213
3911.00,0.2242
3912.00,0.2257
3913.00,0.2272
3914.00,0.2262
3915.00,0.2244
3916.00,0.2180
3917.00,0.2045
3918.00,0.1910
3919.00,0.1766
3920.00,0.1655
3921.00,0.1588
3922.00,0.1557
3923.00,0.1532
3924.00,0.1594
3925.00,0.1606
3926.00,0.1560
3927.00,0.1426
3928.00,0.1337
3929.00,0.1251
3930.00,0.1167
3931.00,0.1193
3932.00,0.1257
3933.00,0.1269
3934.00,0.1281
3935.00,0.1306
3936.00,0.1369
3937.00,0.1432
3938.00,0.1513
3939.00,0.1594
3940.00,0.1574
3941.00,0.1468
3942.00,0.1311
3943.00,0.1226
3944.00,0.1237
3945.00,0.1337
3946.00,0.1562
3947.00,0.1711
3948.00,0.1858
3949.00,0.1980
3950.00,0.2054
3951.00,0.2188
3952.00,0.2158
3953.00,0.2183
3954.00,0.2025
3955.00,0.1881
3956.00,0.1737
3957.00,0.1609
3958.00,0.1491
3959.00,0.1366
3960.00,0.1263
3961.00,0.1226
3962.00,0.1226
3963.00,0.1288
3964.00,0.1347
3965.00,0.1343
3966.00,0.1340
3967.00,0.1329
3968.00,0.1330
3969.00,0.1312
3970.00,0.1447
3971.00,0.1619
3972.00,0.1771
3973.00,0.1962
3974.00,0.2131
3975.00,0.2278
3976.00,0.2422
3977.00,0.2489
3978.00,0.2540
3979.00,0.2589
3980.00,0.2602
3981.00,0.2636
3982.00,0.2685
3983.00,0.2771
3984.00,0.2894
3985.00,0.3047
3986.00,0.3170
3987.00,0.3139
3988.00,0.3102
3989.00,0.3041
3990.00,0.3041
3991.00,0.3105
3992.00,0.3185
3993.00,0.3246
3994.00,0.3188
3995.00,0.3078
3996.00,0.3078
3997.00,0.2992
3998.00,0.3017
3999.00,0.3139
4000.00,0.3290
4001.00,0.3335
4002.00,0.3360
4003.00,0.3289
4004.00,0.3250
4005.00,0.3299
4006.00,0.3384
4007.00,0.3476
4008.00,0.3613
4009.00,0.3755
4010.00,0.3850
4011.00,0.3899
4012.00,0.3881
4013.00,0.3870
4014.00,0.3853
4015.00,0.3841
4016.00,0.3817
4017.00,0.3783
4018.00,0.3783
4019.00,0.3789
4020.00,0.3807
4021.00,0.3816
4022.00,0.3780
4023.00,0.3753
4024.00,0.3729
4025.00,0.3707
4026.00,0.3602
4027.00,0.3630
4028.00,0.3418
4029.00,0.3164
4030.00,0.2771
4031.00,0.2551
4032.00,0.2502
4033.00,0.2551
4034.00,0.2900
4035.00,0.3250
4036.00,0.3685
4037.00,0.4022
4038.00,0.4169
4039.00,0.4169
4040.00,0.3973
4041.00,0.3703
4042.00,0.3529
4043.00,0.3139
4044.00,0.2918
4045.00,0.2796
4046.00,0.2943
4047.00,0.3250
4048.00,0.3593
4049.00,0.3971
4050.00,0.4267
4051.00,0.4341
4052.00,0.4292
4053.00,0.4224
4054.00,0.4126
4055.00,0.4007
4056.00,0.3914
4057.00,0.3878
4058.00,0.3889
4059.00,0.3801
4060.00,0.3654
4061.00,0.3556
4062.00,0.3384
4063.00,0.3124
4064.00,0.3262
4065.00,0.3470
4066.00,0.3654
4067.00,0.3850
4068.00,0.3875
4069.00,0.3801
4070.00,0.3663
4071.00,0.3679
4072.00,0.3801
4073.00,0.3850
4074.00,0.3948
4075.00,0.3887
4076.00,0.3850
4077.00,0.3838
4078.00,0.3982
4079.00,0.4258
4080.00,0.4439
4081.00,0.4525
4082.00,0.4605
4083.00,0.4672
4084.00,0.4767
4085.00,0.4948
4086.00,0.5169
4087.00,0.5248
4088.00,0.5297
4089.00,0.5175
4090.00,0.5083
4091.00,0.4938
4092.00,0.4844
4093.00,0.4770
4094.00,0.4620
4095.00,0.4414
4096.00,0.4237
4097.00,0.4054
4098.00,0.3914
4099.00,0.3742
4100.00,0.3728
4101.00,0.3838
4102.00,0.3985
4103.00,0.4120
4104.00,0.4231
4105.00,0.4320
4106.00,0.4378
4107.00,0.4378
4108.00,0.4316
4109.00,0.4255
4110.00,0.4206
4111.00,0.4215
4112.00,0.4243
4113.00,0.4264
4114.00,0.4332
4115.00,0.4427
4116.00,0.4510
4117.00,0.4611
4118.00,0.4690
4119.00,0.4689
4120.00,0.4672
4121.00,0.4684
4122.00,0.4831
4123.00,0.5028
4124.00,0.5150
4125.00,0.5199
4126.00,0.5140
4127.00,0.4893
4128.00,0.4684
4129.00,0.4316
4130.00,0.4071
4131.00,0.3801
4132.00,0.3875
4133.00,0.3962
4134.00,0.4263
4135.00,0.4459
4136.00,0.4598
4137.00,0.4844
4138.00,0.5003
4139.00,0.4807
4140.00,0.4530
4141.00,0.3948
4142.00,0.3728
4143.00,0.3532
4144.00,0.3679
4145.00,0.3948
4146.00,0.4218
4147.00,0.4552
4148.00,0.4684
4149.00,0.4807
4150.00,0.4819
4151.00,0.4772
4152.00,0.4786
4153.00,0.4758
4154.00,0.4770
4155.00,0.4819
4156.00,0.4925
4157.00,0.5051
4158.00,0.5156
4159.00,0.5285
4160.00,0.5359
4161.00,0.5579
4162.00,0.5690
4163.00,0.5555
4164.00,0.5224
4165.00,0.4966
4166.00,0.4758
4167.00,0.4631
4168.00,0.4611
4169.00,0.4588
4170.00,0.4494
4171.00,0.4323
4172.00,0.4139
4173.00,0.4071
4174.00,0.4181
4175.00,0.4354
4176.00,0.4568
4177.00,0.4739
4178.00,0.4979
4179.00,0.5077
4180.00,0.5212
4181.00,0.5162
4182.00,0.5077
4183.00,0.5077
4184.00,0.4966
4185.00,0.4856
4186.00,0.4660
4187.00,0.4611
4188.00,0.4620
4189.00,0.4771
4190.00,0.4854
4191.00,0.4937
4192.00,0.5063
4193.00,0.5155
4194.00,0.5101
4195.00,0.4880
4196.00,0.4705
4197.00,0.4316
4198.00,0.4096
4199.00,0.3826
4200.00,0.3777
4201.00,0.3777
4202.00,0.4047
4203.00,0.4245
4204.00,0.4611
4205.00,0.4782
4206.00,0.4929
4207.00,0.4979
4208.00,0.5015
4209.00,0.5028
4210.00,0.5010
4211.00,0.5162
4212.00,0.5101
4213.00,0.4899
4214.00,0.4683
4215.00,0.4347
4216.00,0.4169
4217.00,0.4098
4218.00,0.4047
4219.00,0.3789
4220.00,0.3532
4221.00,0.3213
4222.00,0.2955
4223.00,0.2538
4224.00,0.2094
4225.00,0.1864
4226.00,0.1668
4227.00,0.1570
4228.00,0.1717
4229.00,0.1901
4230.00,0.2146
4231.00,0.2464
4232.00,0.2747
4233.00,0.2997
4234.00,0.3191
4235.00,0.3432
4236.00,0.3685
4237.00,0.3887
4238.00,0.4020
4239.00,0.4122
4240.00,0.4262
4241.00,0.4385
4242.00,0.4559
4243.00,0.4752
4244.00,0.4856
4245.00,0.4847
4246.00,0.4709
4247.00,0.4586
4248.00,0.4329
4249.00,0.4034
4250.00,0.3691
4251.00,0.3384
4252.00,0.3144
4253.00,0.2894
4254.00,0.2894
4255.00,0.3274
4256.00,0.3519
4257.00,0.3801
4258.00,0.3979
4259.00,0.3983
4260.00,0.4047
4261.00,0.4267
4262.00,0.4513
4263.00,0.4831
4264.00,0.5052
4265.00,0.5199
4266.00,0.5181
4267.00,0.5052
4268.00,0.4709
4269.00,0.4267
4270.00,0.3863
4271.00,0.3617
4272.00,0.3433
4273.00,0.3126
4274.00,0.3041
4275.00,0.3286
4276.00,0.3728
4277.00,0.4243
4278.00,0.4660
4279.00,0.4807
4280.00,0.4930
4281.00,0.4767
4282.00,0.4758
4283.00,0.4684
4284.00,0.4654
4285.00,0.4690
4286.00,0.4562
4287.00,0.4186
4288.00,0.3581
4289.00,0.3483
4290.00,0.3532
4291.00,0.3728
4292.00,0.3924
4293.00,0.4243
4294.00,0.4538
4295.00,0.4660
4296.00,0.4611
4297.00,0.4482
4298.00,0.4283
4299.00,0.4077
4300.00,0.4022
4301.00,0.3940
4302.00,0.4160
4303.00,0.4132
4304.00,0.4218
4305.00,0.4120
4306.00,0.4022
4307.00,0.3924
4308.00,0.3848
4309.00,0.4022
4310.00,0.4414
4311.00,0.4954
4312.00,0.5395
4313.00,0.5616
4314.00,0.5792
4315.00,0.5928
4316.00,0.6094
4317.00,0.6205
4318.00,0.6260
4319.00,0.6263
4320.00,0.6337
4321.00,0.6131
4322.00,0.6152
4323.00,0.5739
4324.00,0.5641
4325.00,0.5199
4326.00,0.5199
4327.00,0.5224
4328.00,0.5763
4329.00,0.6330
4330.00,0.6769
4331.00,0.7014
4332.00,0.7137
4333.00,0.7210
4334.00,0.7308
4335.00,0.7014
4336.00,0.6837
4337.00,0.6327
4338.00,0.6180
4339.00,0.6082
4340.00,0.6376
4341.00,0.6426
4342.00,0.6524
4343.00,0.6758
4344.00,0.6475
4345.00,0.6671
4346.00,0.6867
4347.00,0.7063
4348.00,0.7357
4349.00,0.7259
4350.00,0.6744
4351.00,0.6229
4352.00,0.6278
4353.00,0.6266
4354.00,0.6560
4355.00,0.6475
4356.00,0.6646
4357.00,0.6964
4358.00,0.6990
4359.00,0.7161
4360.00,0.7088
4361.00,0.7210
4362.00,0.7278
4363.00,0.7419
4364.00,0.7646
4365.00,0.7701
4366.00,0.7701
4367.00,0.7419
4368.00,0.7259
4369.00,0.7174
4370.00,0.7075
4371.00,0.7077
4372.00,0.6965
4373.00,0.6812
4374.00,0.6499
4375.00,0.6303
4376.00,0.6156
4377.00,0.6131
4378.00,0.6155
4379.00,0.6107
4380.00,0.5837
4381.00,0.5199
4382.00,0.4758
4383.00,0.4414
4384.00,0.4513
4385.00,0.4745
4386.00,0.5346
4387.00,0.5837
4388.00,0.6131
4389.00,0.6278
4390.00,0.6462
4391.00,0.6732
4392.00,0.6996
4393.00,0.7207
4394.00,0.7296
4395.00,0.7431
4396.00,0.7652
4397.00,0.7725
4398.00,0.7603
4399.00,0.7631
4400.00,0.7088
4401.00,0.6800
4402.00,0.6370
4403.00,0.5880
4404.00,0.5297
4405.00,0.5199
4406.00,0.5208
4407.00,0.5641
4408.00,0.5972
4409.00,0.6646
4410.00,0.7198
4411.00,0.7750
4412.00,0.7627
4413.00,0.7112
4414.00,0.6551
4415.00,0.6376
4416.00,0.7014
4417.00,0.7327
4418.00,0.7940
4419.00,0.8142
4420.00,0.8184
4421.00,0.7788
4422.00,0.7679
4423.00,0.7382
4424.00,0.7039
4425.00,0.6622
4426.00,0.6475
4427.00,0.6684
4428.00,0.7308
4429.00,0.7406
4430.00,0.7456
4431.00,0.7456
4432.00,0.7505
4433.00,0.7210
4434.00,0.6427
4435.00,0.6475
4436.00,0.6573
4437.00,0.7406
4438.00,0.8191
4439.00,0.8731
4440.00,0.8731
4441.00,0.8142
4442.00,0.7848
4443.00,0.7946
4444.00,0.8387
4445.00,0.8780
4446.00,0.8878
4447.00,0.8829
4448.00,0.8801
4449.00,0.8706
4450.00,0.8682
4451.00,0.8142
4452.00,0.7652
4453.00,0.6769
4454.00,0.6376
4455.00,0.5884
4456.00,0.5984
4457.00,0.5972
4458.00,0.6315
4459.00,0.6554
4460.00,0.6622
4461.00,0.6965
4462.00,0.7450
4463.00,0.8142
4464.00,0.8338
4465.00,0.8357
4466.00,0.8449
4467.00,0.8663
4468.00,0.8804
4469.00,0.8964
4470.00,0.9246
4471.00,0.9344
4472.00,0.9418
4473.00,0.9411
4474.00,0.9497
4475.00,0.9454
