"wavelength_A","unknown1","unknown2","unknown3","unknown4","unknown5"
3900,0.961,0.172,0.5944,0.7219,0.2176
3901,0.9601,0.174,0.5883,0.7604,0.2176
3902,0.9565,0.1752,0.5842,0.7871,0.2227
3903,0.9696,0.1763,0.5739,0.7988,0.2252
3904,0.9767,0.1767,0.5769,0.8051,0.2271
3905,0.99,0.1821,0.586,0.8203,0.2364
3906,1,0.1937,0.6012,0.8369,0.2518
3907,1,0.2036,0.6255,0.8526,0.2677
3908,0.9962,0.2121,0.6559,0.8674,0.2827
3909,0.9913,0.2186,0.6744,0.8831,0.2954
3910,0.9886,0.2213,0.6855,0.8903,0.3088
3911,0.9831,0.2242,0.6938,0.8973,0.3244
3912,0.9755,0.2257,0.6999,0.902,0.3225
3913,0.9703,0.2272,0.6984,0.9118,0.3149
3914,0.9641,0.2262,0.6931,0.9142,0.2915
3915,0.9601,0.2244,0.69,0.929,0.2742
3916,0.9508,0.218,0.6765,0.9432,0.2558
3917,0.9382,0.2045,0.6544,0.9408,0.2378
3918,0.9249,0.191,0.6274,0.9201,0.2172
3919,0.9173,0.1766,0.61,0.9231,0.2023
3920,0.913,0.1655,0.5857,0.9497,0.1927
3921,0.9089,0.1588,0.5739,0.9763,0.1985
3922,0.8977,0.1557,0.5618,1,0.2042
3923,0.8957,0.1532,0.5658,0.9942,0.1967
3924,0.8954,0.1594,0.5466,0.9837,0.1918
3925,0.914,0.1606,0.5375,0.9497,0.1765
3926,0.928,0.156,0.4881,0.929,0.1617
3927,0.948,0.1426,0.4365,0.9223,0.1455
3928,0.9544,0.1337,0.3697,0.9124,0.1331
3929,0.9415,0.1251,0.3219,0.8983,0.1226
3930,0.9261,0.1167,0.2748,0.8751,0.114
3931,0.9121,0.1193,0.2368,0.838,0.1102
3932,0.9049,0.1257,0.2034,0.8107,0.1097
3933,0.9054,0.1269,0.1883,0.8225,0.1116
3934,0.9149,0.1281,0.1943,0.8609,0.1135
3935,0.9187,0.1306,0.2277,0.8876,0.1221
3936,0.9259,0.1369,0.2702,0.8883,0.1319
3937,0.9314,0.1432,0.3144,0.8876,0.1468
3938,0.9373,0.1513,0.3557,0.8913,0.1656
3939,0.947,0.1594,0.4059,0.895,0.1775
3940,0.9525,0.1574,0.4464,0.9142,0.1756
3941,0.9534,0.1468,0.4737,0.9305,0.1698
3942,0.9509,0.1311,0.4889,0.9393,0.1679
3943,0.9429,0.1226,0.5048,0.9349,0.1823
3944,0.9422,0.1237,0.535,0.9247,0.2005
3945,0.9453,0.1337,0.5678,0.9053,0.2233
3946,0.9525,0.1562,0.5967,0.8698,0.2419
3947,0.9525,0.1711,0.621,0.8462,0.2575
3948,0.9468,0.1858,0.6392,0.8136,0.276
3949,0.9287,0.198,0.6483,0.8033,0.2882
