No	Ref	B	V
25	25	9.95	9.47
34	25	12.97	12.03
34	132	12.88	11.96
70	909	11.472	10.768
81	25	14.49	13.59
81	124	14.47	13.55
81	909	14.384	13.505
81	1043	14.44	13.56
83	124	15.91	14.86
83	1043	15.88	14.89
97	25	13.58	12.5
97	132	13.73	12.65
97	1051	13.73	12.65
102	25	11.22	10.51
102	144	11.23	10.52
102	909	11.295	10.54
105	25	14.74	13.76
105	1043	14.73	13.78
120	25	11.49	10.79
120	144	11.54	10.84
129	25	12.35	11.47
133	124	15.71	14.33
133	132	15.61	14.26
133	304	15.67	14.32
133	1043	15.7	14.32
134	124	15.92	14.41
134	144	15.84	14.37
134	496	15.9	14.39
134	1043	15.94	14.39
146	132	15.93	14.52
146	304	15.96	14.55
146	1043	16.01	14.6
152	25	11.45	10.75
152	144	11.42	10.73
152	1044	11.39	10.71
153	25	7.66	7.51
157	25	8.24	7.9
157	909	8.27	7.911
158	3	8.475	8.24
158	25	8.48	8.23
158	457	8.481	8.23
158	1044	8.47	8.21
164	25	10.02	9.54
164	909	10.089	9.556
164	1044	10.02	9.52
173	25	11.71	10.86
173	132	11.73	10.89
173	1044	11.75	10.86
174	25	12.47	11.62
186	25	11.32	10.52
186	1043	11.28	10.49
189	124	15.39	14.03
189	132	15.33	13.96
189	271	15.39	14.02
189	304	15.37	14
189	1043	15.36	14
191	124	16.02	14.6
191	132	15.85	14.5
191	271	15.93	14.5
191	304	15.88	14.53
191	1043	15.85	14.39
193	25	12.1	11.29
193	144	12.09	11.3
212	124	15.785	14.385
212	132	15.67	14.3
232	3	8.247	8.05
232	25	8.26	8.06
232	457	8.259	8.05
233	25	10.18	9.66
233	909	10.238	9.691
248	25	11.79	11.02
248	144	11.79	11.02
248	909	11.817	11.021
248	1044	11.8	11.01
250	25	11.36	10.68
250	144	11.37	10.7
250	1044	11.42	10.72
250	2032	11.36	10.69
253	25	11.34	10.66
257	25	13.32	12.51
257	1043	13.4	12.6
263	25	12.42	11.54
263	144	12.51	11.63
293	25	11.5	10.8
293	144	11.49	10.79
293	1044	11.51	10.78
296	25	12.3	11.46
296	132	12.38	11.54
296	312	12.19	11.36
296	909	12.425	11.512
298	25	11.74	10.86
303	25	11.37	10.48
303	144	11.36	10.48
303	1044	11.4	10.49
314	25	11.2	10.56
314	1044	11.26	10.6
316	1387	10.56	8.85
320	25	11.92	11.04
320	1044	11.92	11.02
324	124	14.07	13
324	132	14.04	12.99
324	144	13.93	12.87
324	359	13.99	12.91
324	442	14	12.96
324	1051	14.14	13.12
324	2032	14.01	12.9
335	124	15.04	13.76
335	132	15.03	13.77
335	1043	15.03	13.78
335	2032	14.96	13.65
338	3	9.518	9.06
338	25	9.53	9.07
338	457	9.539	9.08
338	1044	9.52	9.04
344	3	8.425	8.16
344	25	8.44	8.17
345	25	12.41	11.57
345	124	12.5	11.65
345	2032	12.23	11.4
347	124	15.42	13.98
347	132	15.41	14
347	271	15.49	14.05
347	1051	15.45	14.04
347	1051	15.45	14.04
357	25	14.9	13.46
357	132	14.46	13.27
357	304	14.51	13.32
357	312	14.56	13.34
357	1043	14.8	13.52
380	132	14.54	13.33
405	3	10.357	9.82
405	25	10.37	9.83
430	25	12.25	11.4
430	124	12.26	11.45
430	132	12.2	11.4
430	312	12.19	11.37
447	3	5.404	5.45
447	25	5.42	5.46
447	186	5.42	5.46
447	262	5.41	5.45
447	457	5.402	5.45
447	1091	5.42	5.46
451	124	14.72	13.49
451	132	14.64	13.43
451	304	14.63	13.44
451	1043	14.55	13.36
468	3	3.583	3.69
468	25	3.6	3.71
468	29	3.58	3.69
468	262	3.59	3.7
468	871	3.624	3.73
468	1091	3.58	3.7
468	1136	-0.103	
470	25	9.34	8.95
470	909	9.369	8.957
470	1044	9.26	8.86
476	25	11.61	10.81
476	312	11.58	10.78
476	1044	11.64	10.8
489	3	10.997	10.37
489	25	11.02	10.39
489	144	11.04	10.42
513	25	15.06	13.76
513	124	15.15	13.84
513	271	15.09	13.77
514	25	11.38	10.69
514	144	11.43	10.73
514	1044	11.44	10.73
522	25	12.87	11.93
522	124	12.89	11.97
522	132	12.87	11.97
530	25	9.34	8.95
530	909	9.362	8.978
531	3	8.901	8.57
531	25	8.92	8.58
541	3	5.565	5.64
541	25	5.58	5.65
541	268	4.68	4.76
541	1091	5.58	5.65
559	132	14.44	13.33
563	3	4.184	4.29
563	25	4.2	4.31
563	262	4.18	4.29
563	268	4.27	4.39
563	457	4.175	4.29
563	574	4.17	4.29
563	871	4.199	4.3
563	1091	4.19	4.3
563	1136	-0.091	
571	25	11.98	11.2
571	132	12.04	11.26
590	132	15.73	14.37
590	1051	15.71	14.34
605	3	9.419	8.98
605	25	9.43	8.99
624	132	16.81	15.28
624	304	16.79	15.27
625	25	13.67	12.57
625	132	13.88	12.69
625	2032	13.81	12.61
627	25	10.18	9.68
627	1044	10.17	9.65
636	25	13.54	12.48
636	132	13.42	12.4
649	496	12.89	11.94
652	3	8.236	8.02
652	25	8.25	8.04
659	25	13.08	12.13
659	132	12.98	12.04
676	25	14.86	13.56
676	124	15.02	13.71
676	132	14.94	13.64
676	909	15.861	13.936
686	359	15.39	13.67
686	1051	14.65	13.38
686	2032	14.4	13.4
697	3	8.932	8.58
697	25	8.95	8.6
708	3	10.722	10.12
708	25	10.75	10.13
708	909	10.774	10.158
717	3	7.319	7.16
717	25	7.34	7.18
727	3	10.248	9.7
727	25	10.25	9.7
727	1044	10.27	9.71
738	25	13.42	12.26
738	132	13.47	12.3
738	909	13.552	12.359
738	2032	13.45	12.28
739	25	10.18	9.56
739	132	10.19	9.57
739	1044	10.11	9.48
739	2032	10.05	9.44
740	132	14.46	13.4
740	1043	14.53	13.45
745	3	9.95	9.43
745	25	9.97	9.45
745	1044	9.99	9.46
746	25	12.19	11.27
746	132	12.07	11.3
761	25	11.22	10.55
761	1044	11.27	10.56
762	124	15.75	14.33
762	132	15.63	14.23
762	442	15.73	14.33
785	3	3.792	3.86
785	25	3.81	3.88
785	262	3.8	3.87
785	871	3.832	3.91
785	1091	3.8	3.87
785	1136	-0.069	
793	124	15.705	14.305
793	132	15.74	14.27
793	304	15.78	14.31
793	1043	15.65	14.32
799	124	15.02	13.71
799	132	15	13.66
799	304	15.04	13.7
799	1043	14.94	13.61
801	25	6.89	6.85
801	909	6.89	6.838
803	496	13.39	11.97
804	3	8.032	7.84
804	25	8.05	7.85
804	909	8.027	7.845
817	3	5.706	5.75
817	25	5.72	5.76
817	574	5.73	5.77
817	909	5.751	5.773
817	1091	5.72	5.76
859	3	6.382	6.41
859	25	6.41	6.43
859	909	6.415	6.43
859	1091	6.41	6.43
865	25	17.06	16.01
870	132	13.86	12.61
879	124	13.9	12.82
879	132	13.86	12.79
879	442	13.82	12.76
882	25	13.73	12.66
882	132	14.02	12.95
882	2032	13.61	12.55
883	124	14.2	13.05
883	132	14.13	13.05
883	442	14.14	13.02
885	25	13.06	12.05
885	132	13.1	12.08
906	132	16.72	15.2
915	25	14.85	13.62
915	132	15.02	13.79
916	25	12.58	11.71
916	909	12.489	11.62
923	25	10.74	10.12
923	132	10.77	10.16
930	124	15.57	14.23
930	442	15.59	14.22
945	25	14.35	13.29
945	132	14.34	13.32
948	25	9.26	8.66
948	909	9.279	8.685
956	25	8.28	7.96
974	124	15.18	13.86
974	132	15.3	13.96
974	442	15.29	13.95
975	25	11.37	10.56
975	312	11.42	10.58
980	3	4.104	4.16
980	25	4.12	4.18
980	29	4.12	4.18
980	262	4.12	4.18
980	871	4.134	4.18
980	1091	4.12	4.18
