Origin	MAIN_ID	OTYPE	RA	DEC	COO_ERR_MAJA	COO_ERR_MINA	COO_ERR_ANGLE	PMRA	PMDEC	B	V	R	J	H	K	SP_TYPE	GALDIM_MAJAXIS	GALDIM_MINAXIS	GALDIM_ANGLE	BIBLIST
Simbad	HIP  43465	*inCl	08 51 11.782	+11 45 22.05	 	 	 	-7.69	-5.64	9.88	9.93	 	10.137	10.224	10.228	B8V	 	 	 	67
Simbad	Cl* NGC 2682     CI      21	*inCl	08 51 19.907	+11 47 00.38	128	96	0	-8.2	-7.2	12.59	12.14	 	11.205	11.021	10.99	F1	 	 	 	60
Simbad	Cl* NGC 2682    BBV      19	*inCl	08 51 26.432	+11 43 50.68	75	58	0	-9.1	-6.1	11.42	11.3	 	11.02	11.011	10.993	A4.5:m...	 	 	 	53
Simbad	Cl* NGC 2682    BBV      20	*inCl	08 51 27.010	+11 51 52.57	57	46	0	-7.8	-6.7	10.94	10.8	 	10.747	10.733	10.702	A2V	 	 	 	50
Simbad	Cl* NGC 2682     CI      20	*inCl	08 51 20.124	+11 46 41.74	16	15	0	-8.2	-3.6	13.33	12.77	13.6	11.691	11.44	11.388	 	 	 	 	50
Simbad	Cl* NGC 2682     ES    1027	*inCl	08 51 03.514	+11 45 02.73	89	70	0	-8.1	-6.4	11.5	10.9	 	10.719	10.621	10.585	A7.2:m...	 	 	 	44
Simbad	Cl* NGC 2682     CI      18	*inCl	08 51 20.573	+11 46 16.38	15	15	116	-3.5	-6.4	13.45	12.95	13	12.004	11.833	11.791	G:	 	 	 	43
Simbad	Cl* NGC 2682     CI      15	*inCl	08 51 21.23	+11 45 52.7	70	70	0	 	 	12.85	12.27	 	11.135	10.888	10.835	F5	 	 	 	42
Simbad	Cl* NGC 2682    SAB      18	*inCl	08 51 43.890	+11 56 42.47	70	55	0	-7.9	-6.5	11.7	10.5	 	8.618	8.11	8	g8	 	 	 	42
Simbad	Cl* NGC 2682     CI      14	*inCl	08 51 20.331	+11 45 52.47	19	15	89	-11.7	-5.7	13.728	13.154	 	12.061	11.822	11.767	 	 	 	 	40
Simbad	Cl* NGC 2682    BBV       8	*inCl	08 51 18.54	+11 49 21.5	70	70	0	 	 	13.27	12.65	 	11.506	11.229	11.145	F6	 	 	 	37
Simbad	Cl* NGC 2682     CI      23	*inCl	08 51 17.347	+11 47 00.64	21	18	82	-6.8	-5.4	13.65	13.09	 	12.017	11.749	11.723	 	 	 	 	37
Simbad	Cl* NGC 2682     ES    1199	*inCl	08 51 20.550	+11 46 04.87	15	15	87	-6.8	-6.3	13.77	13.19	12.3	12.073	11.811	11.771	 	 	 	 	37
Simbad	Cl* NGC 2682    SAB       5	*inCl	08 51 17.028	+11 50 46.40	113	92	82	-7.6	-5.5	12.28	11.21	 	9.284	8.712	8.606	K0III/IV	 	 	 	36
